sim_clock_hour,soc_kwh_in,pref_logged_kW,lp_expert_pref0_kW,,,price_2,price_3,price_4,price_5,price_6,price_7,price_8,price_9,price_10,price_11,price_12,price_13,price_14,price_15,price_16,price_17,price_18,price_19,price_20,price_21,price_22,price_23
0,1000,500,500,0,0,39168.19455,0.028,0.03,0.035,0.045,0.055,0.05,0.04,0.03,0.025,0.02,0.022,0.025,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045
1,568.9112174,204.1170709,204.1170709,9.95E-13,9.89547E-25,0.028,0.03,0.035,0.045,0.055,0.05,0.04,0.03,0.025,0.02,0.022,0.025,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.45462907
2,353.6440407,-500,-500,0,0,0.03,0.035,0.045,0.055,0.05,0.04,0.03,0.025,0.02,0.022,0.025,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.45462907,0.183035279
3,739.4200334,-500,-500,0,0,0.035,0.045,0.055,0.05,0.04,0.03,0.025,0.02,0.022,0.025,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.45462907,0.183035279,0.427999851
4,1172.173501,-500,-500,0,0,0.045,0.055,0.05,0.04,0.03,0.025,0.02,0.022,0.025,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.45462907,0.183035279,0.427999851,-0.177283979
5,1605.769887,-204.4527504,-204.4527504,-9.95E-13,9.89547E-25,0.055,0.05,0.04,0.03,0.025,0.02,0.022,0.025,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.45462907,0.183035279,0.427999851,-0.177283979,-0.50159168
6,1800,500,500,0,0,0.05,0.04,0.03,0.025,0.02,0.022,0.025,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.45462907,0.183035279,0.427999851,-0.177283979,-0.50159168,0.008788238
7,1379.176046,500,500,0,0,0.04,0.03,0.025,0.02,0.022,0.025,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.45462907,0.183035279,0.427999851,-0.177283979,-0.50159168,0.008788238,0.236204841
8,933.9441412,500,500,0,0,0.03,0.025,0.02,0.022,0.025,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.45462907,0.183035279,0.427999851,-0.177283979,-0.50159168,0.008788238,0.236204841,0.494273907
9,491.6495297,306.9995049,306.9995049,1.99E-12,3.95819E-24,0.025,0.02,0.022,0.025,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.45462907,0.183035279,0.427999851,-0.177283979,-0.50159168,0.008788238,0.236204841,0.494273907,-0.43634984
10,213.7611819,14.4854546,14.4854546,1.10E-12,1.20903E-24,0.02,0.022,0.025,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.45462907,0.183035279,0.427999851,-0.177283979,-0.50159168,0.008788238,0.236204841,0.494273907,-0.43634984,-0.47714578
11,202.8672714,-500,-500,0,0,0.022,0.025,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.45462907,0.183035279,0.427999851,-0.177283979,-0.50159168,0.008788238,0.236204841,0.494273907,-0.43634984,-0.47714578,0.312371161
12,638.2959217,-500,-500,0,0,0.025,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.45462907,0.183035279,0.427999851,-0.177283979,-0.50159168,0.008788238,0.236204841,0.494273907,-0.43634984,-0.47714578,0.312371161,0.214634285
13,1109.022287,-500,-500,0,0,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.45462907,0.183035279,0.427999851,-0.177283979,-0.50159168,0.008788238,0.236204841,0.494273907,-0.43634984,-0.47714578,0.312371161,0.214634285,0.633514291
